,Unnamed: 0,Id_main_page,Lugar,Fecha,Evento,Link,Fecha Inicio,Fecha Final,Duración
0,0,714,Guatemala,17/9/2021 - 19/9/2021,El Pulte,https://ecuestre.digital/shows/show-info?id=714,2021-09-17,2021-09-19,2 days
1,1,701,Ecuador,17/9/2021 - 19/9/2021,Club Hípico Yaguachi,https://ecuestre.digital/shows/show-info?id=701,2021-09-17,2021-09-19,2 days
2,2,712,Venezuela,17/9/2021 - 19/9/2021,Club Campestre Los Cortijos,https://ecuestre.digital/shows/show-info?id=712,2021-09-17,2021-09-19,2 days
3,3,660,MI,17/9/2021 - 19/9/2021,"Major League Show JumpingTraverse City, ",https://ecuestre.digital/shows/show-info?id=660,2021-09-17,2021-09-19,2 days
4,4,716,Colombia,16/9/2021 - 19/9/2021,Club Campestre De Cali,https://ecuestre.digital/shows/show-info?id=716,2021-09-16,2021-09-19,3 days
5,5,709,Uruguay,11/9/2021 - 11/9/2021,Centro De Entrenamiento De Caballos Deportivos,https://ecuestre.digital/shows/show-info?id=709,2021-11-09,2021-11-09,0 days
6,6,710,California,10/9/2021 - 12/9/2021,Jockey Club De Caliente A.cBaja ,https://ecuestre.digital/shows/show-info?id=710,2021-10-09,2021-12-09,61 days
7,7,704,Ecuador,10/9/2021 - 12/9/2021,Arrayanes Country Club,https://ecuestre.digital/shows/show-info?id=704,2021-10-09,2021-12-09,61 days
8,8,688,Guadalajara,9/9/2021 - 12/9/2021,"Hípica Gdl, A.c.",https://ecuestre.digital/shows/show-info?id=688,2021-09-09,2021-12-09,91 days
9,9,711,Monterrey,9/9/2021 - 12/9/2021,"Centro Ecuestre San Pedro, A.c. ",https://ecuestre.digital/shows/show-info?id=711,2021-09-09,2021-12-09,91 days
10,10,420,CA,8/9/2021 - 12/9/2021,"Split Rock Jumping TourSonoma, ",https://ecuestre.digital/shows/show-info?id=us_420,2021-08-09,2021-12-09,122 days
11,11,702,Panama,7/9/2021 - 12/9/2021,Organización Ecuestre De ,https://ecuestre.digital/shows/show-info?id=702,2021-07-09,2021-12-09,153 days
12,12,706,Guatemala,4/9/2021 - 5/9/2021,Jockey Club,https://ecuestre.digital/shows/show-info?id=706,2021-04-09,2021-05-09,30 days
13,13,698,Ecuador,4/9/2021 - 5/9/2021,Club Rancho San Francisco Adiestramiento,https://ecuestre.digital/shows/show-info?id=698,2021-04-09,2021-05-09,30 days
14,14,708,Uruguay,4/9/2021 - 4/9/2021,Centro Militar,https://ecuestre.digital/shows/show-info?id=708,2021-04-09,2021-04-09,0 days
15,15,703,Venezuela,3/9/2021 - 5/9/2021,Club Hípico Caracas,https://ecuestre.digital/shows/show-info?id=703,2021-03-09,2021-05-09,61 days
16,16,687,Guadalajara,2/9/2021 - 5/9/2021,"Hípica Gdl, A.c.",https://ecuestre.digital/shows/show-info?id=687,2021-02-09,2021-05-09,89 days
17,17,696,Uruguay,28/8/2021 - 28/8/2021,Centro Militar,https://ecuestre.digital/shows/show-info?id=696,2021-08-28,2021-08-28,0 days
18,18,694,Panama,27/8/2021 - 29/8/2021,El Istmo,https://ecuestre.digital/shows/show-info?id=694,2021-08-27,2021-08-29,2 days
19,19,659,CA,26/8/2021 - 29/8/2021,"Major League Show JumpingToronto, ",https://ecuestre.digital/shows/show-info?id=659,2021-08-26,2021-08-29,3 days
20,20,700,Colombia,26/8/2021 - 29/8/2021,Club Campestre Guaymaral,https://ecuestre.digital/shows/show-info?id=700,2021-08-26,2021-08-29,3 days
21,21,683,Guatemala,21/8/2021 - 22/8/2021,El Pulte Adiestramiento,https://ecuestre.digital/shows/show-info?id=683,2021-08-21,2021-08-22,1 days
22,22,684,Venezuela,20/8/2021 - 22/8/2021,Club Hípico Caracas,https://ecuestre.digital/shows/show-info?id=684,2021-08-20,2021-08-22,2 days
23,23,658,CA,19/8/2021 - 22/8/2021,"Major League Show JumpingToronto, ",https://ecuestre.digital/shows/show-info?id=658,2021-08-19,2021-08-22,3 days
24,24,695,Colombia,19/8/2021 - 22/8/2021,Club Campestre Guaymaral,https://ecuestre.digital/shows/show-info?id=695,2021-08-19,2021-08-22,3 days
25,25,692,Uruguay,14/8/2021 - 14/8/2021,Carrasco Polo Club,https://ecuestre.digital/shows/show-info?id=692,2021-08-14,2021-08-14,0 days
26,26,693,Panama,13/8/2021 - 15/8/2021,Organización Ecuestre De ,https://ecuestre.digital/shows/show-info?id=693,2021-08-13,2021-08-15,2 days
27,27,686,Puebla,12/8/2021 - 15/8/2021,Copa ,https://ecuestre.digital/shows/show-info?id=686,2021-12-08,2021-08-15,-115 days
28,28,685,Uruguay,7/8/2021 - 7/8/2021,Club Hipico o,https://ecuestre.digital/shows/show-info?id=685,2021-07-08,2021-07-08,0 days
29,29,691,Guatemala,6/8/2021 - 8/8/2021,Palo Blanco,https://ecuestre.digital/shows/show-info?id=691,2021-06-08,2021-08-08,61 days
30,30,681,Colombia,5/8/2021 - 8/8/2021,Club Campestre El Rancho,https://ecuestre.digital/shows/show-info?id=681,2021-05-08,2021-08-08,92 days
31,31,682,Uruguay,31/7/2021 - 31/7/2021,Centro Militar,https://ecuestre.digital/shows/show-info?id=682,2021-07-31,2021-07-31,0 days
32,32,680,Colombia,29/7/2021 - 1/8/2021,Club Campestre El Rancho,https://ecuestre.digital/shows/show-info?id=680,2021-07-29,2021-01-08,-202 days
33,33,664,Queretaro,24/7/2021 - 25/7/2021,Virtual Equestrian CompetitionCiudad De Mexico / ,https://ecuestre.digital/shows/show-info?id=664,2021-07-24,2021-07-25,1 days
34,34,678,Uruguay,24/7/2021 - 24/7/2021,Carrasco Polo Club,https://ecuestre.digital/shows/show-info?id=678,2021-07-24,2021-07-24,0 days
35,35,673,Guatemala,23/7/2021 - 26/7/2021,El Pulte,https://ecuestre.digital/shows/show-info?id=673,2021-07-23,2021-07-26,3 days
36,36,419,CO,21/7/2021 - 25/7/2021,Split Rock Jumping TourParker ,https://ecuestre.digital/shows/show-info?id=us_419,2021-07-21,2021-07-25,4 days
37,37,657,MI,20/7/2021 - 25/7/2021,"Major League Show JumpingTraverse City, ",https://ecuestre.digital/shows/show-info?id=657,2021-07-20,2021-07-25,5 days
38,38,669,Uruguay,17/7/2021 - 17/7/2021,Centro Militar,https://ecuestre.digital/shows/show-info?id=669,2021-07-17,2021-07-17,0 days
39,39,665,Ecuador,16/7/2021 - 18/7/2021,Club Rancho San Francisco,https://ecuestre.digital/shows/show-info?id=665,2021-07-16,2021-07-18,2 days
40,40,648,MI,14/7/2021 - 18/7/2021,"Major League Show JumpingTraverse City, ",https://ecuestre.digital/shows/show-info?id=648,2021-07-14,2021-07-18,4 days
41,41,663,Uruguay,11/7/2021 - 11/7/2021,Club Hipico o,https://ecuestre.digital/shows/show-info?id=663,2021-11-07,2021-11-07,0 days
42,42,609,Puebla,10/7/2021 - 9/5/2021,Copa ,https://ecuestre.digital/shows/show-info?id=609,2021-10-07,2021-09-05,-32 days
43,43,653,Venezuela,10/7/2021 - 11/7/2021,Lagunita Country Club,https://ecuestre.digital/shows/show-info?id=653,2021-10-07,2021-11-07,31 days
44,44,656,Ecuador,9/7/2021 - 11/7/2021,Haras Jc,https://ecuestre.digital/shows/show-info?id=656,2021-09-07,2021-11-07,61 days
45,45,655,Asturias,8/7/2021 - 11/7/2021,"Yeguada MaezaSariego, ",https://ecuestre.digital/shows/show-info?id=655,2021-08-07,2021-11-07,92 days
